Question,Answer
This fruit is associate with India's folklore and religious ceremonies,mango
Kids Web Japan has a page on this art that shows you how to fold a piece of paper into the shape of a dog or a piano,origami
This 7-letter word for a day off from school or work originally referred to a religious observance,a holiday
"Like every wash day, there was 1 Hanes ankle this left without a partner",a sock
"The artist known as Pink now spells her professional name using one of these for the ""i""",an exclamation point
"Flora, one of these ""roid""s discovered in 1847, orbits the sun at an average distance of about 200 million miles",asteroid
"(Kelly of the Clue Crew leaves a koala be at the Taronga Zoo in Sydney, Australia.)  No matter how cuddly they look, visitors to Taronga Zoo are not allowed to hold koalas, which are often mistakenly called this type of animal",bear
The most recent leap year,2008
Tell a little lie,fib
"After you left this bill in a pocket, Abe Lincoln looks like he's crying; I hope it's still ""legal tender""",a $5 bill
"Christina Perri went from waitress to toast of the town after her ballad ""Jar of"" these was used on TV",Hearts
This multinational orbital project abbreviated I.S.S. houses numerous research modules,the International Space Station
Tails is a big-eyed friend of this ever-popular hedgehog,Sonic
The Pilgrims first come ashore in Massachusetts,1620
"Write something down quickly, like an address",jot
That stain on your jeans from helping Dad change the car's 10W-30 this-- it didn't come out,the oil
"This ""Wizards of Waverly Place"" star has a band called The Scene that released ""A Year Without Rain"" in 2010",Selena Gomez
"Colorful term for a second full moon in one month; something rare might happen ""once in"" it",a blue moon
"Zakumi, a leopard holding a soccer ball, was the mascot of this 2010 major global sporting event",the World Cup
Most of the South secedes from the Union & the Civil War begins,1861
"A playing card, it can also mean to easily pass a test",ace
"Sorry, a couple of these, also called spangles, fell off your shirt even though I washed it inside-out",sequins
"This ""Gossip"" gal made the Billboard charts by pairing with Garrett Hedlund on ""Give In To Me""",Leighton Meester
It can be a small pill or a small spacecraft like the Mercury ones used by early astronauts,a capsule
A San Diego mom invented these folding plush animals that you can also lay your head on to sleep,a Pillow Pet
The first astronauts walk on the moon,1969
Transmit a copy of a document over a telephone line,fax
Ahhh! Nice warm shorts from this surf & skate fasion company that sounds like a synonym for the metal mercury,Quicksilver
"""Moment 4 Life"" was a hit for this Lil Wayne protege who was discovered via her Myspace page",Nicki Minaj
"The ESA, established in 1975, stands for this Space Agency; its 18 members include France & Germany",European
"The Labrador retriever has a strong, rudder-like tail named for this sleek river mammal of the weasel family",an otter
Hawaii becomes our 50th state,1959
"To engage in pugilism, or a cardboard container",box
"If he had been his own country, at the 2008 Summer Olympics he would have tied for ninth in gold medals",Michael Phelps
It's the only Asian great ape,the orangutan
"In 1984 this company's laser printer won raves &, at $3,495, also cost a third less than the competitors'",HP (Hewlett-Packard)
"Jon Stewart got a ""kick"" out of this sport at William & Mary, & an award there is named in his honor",soccer
Pass the grape jelly & name this state capital of New Hampshire,Concord
"This czar may have been ""great"", but biographer Robert K. Massie says he was deathly afraid of cockroaches",Peter the Great
"Immature, wingless feeding stage of an insect",larva
It's what an archerfish shoots to bring down insects,water
"The cover of the first PC Magazine featured this company's new desktop computer, which helped launch an industry",IBM
Steve Young was a quarterback at this school named for his great-great-great-grandfather,BYU (Brigham Young)
It's the capital of the Evergreen State,Olympia
Princess Caroline's hunky son Andrea Casiraghi is second in line to the throne in this country,Monaco
"A portable lamp, or a ""Green"" DC Comics character",a lantern
"This predator that comes in gray and red types is a bit camera-shy, but its tracks are seen here",the wolf
For 16 years this computer maker put an ad on the back page of PC Mag to promote & pioneer its direct PC sales,Dell
"Julia Louis-Dreyfus was part of an improv troupe while attending this university in Evanston, Illinois",Northwestern
Much of the trendy Back Bay area of this state capital is built on a landfill,Boston
"This ""Sun King"" sniffed, ""England is a little garden full of sour weeds""",Louis XIV
Chad or Superior,a lake
"A traditional sign of spring in England is a letter to the Times saying, I heard this ""crazy"" bird's call",a cuckoo
"In 1999, when it wasn't even a year old, this website won a PC Mag award for its PageRank technology",Google
"At Amherst this future TV dad graduated cum laude; he must have been in ""7th Heaven""",Stephen Collins
"Because he believed God led him there, Roger Williams named a state capital this",Providence
Princess Cristina of this country married a Basque handball player in 1997,Spain
Another name for a cowboy's lasso,a lariat
"(Sarah of the Clue Crew appears from the USC Wrigley Institute on Catalina Island, CA.)  Though thriving now, Catalina Island foxes were threatened in the '90s by the infectious disease marked by fever & catarrh known as canine this",distemper
"id Software got kudos for letting gamers construct worlds in this 4-letter shooter, set on Mars & featuring demons",Doom
"At Vassar, Meryl Streep starred in this Swede's play ""Miss Julie""; at Yale, she was in his play ""The Father""",August Strindberg
It's where you'll find the Robert C. Byrd U.S. Courthouse,Charleston
In 1927 5-year-old Prince Michael was proclaimed king of this country north of Bulgaria,Romania
Element with the atomic number 103 (it ain't livermorium!),lawrencium
"After jousting with the Lance, she felt a change would do her good in 2006",Sheryl Crow
In 1935 Lincoln Ellsworth flew over this continent & claimed parts of it for the U.S.,Antarctica
"""Gone with the Wind"" opens with a description of her ""arresting"" face",Scarlett O'Hara
2-word term for the hypothetical species said to bridge the gap between anthropod apes & human beings,the missing link
New York's Public Theater began staging Shakespeare in the Park in this park in 1962,Central Park
Types of these include flexors & adductors,muscles
"Who will save your soul?  This precious gem, seen here?",Jewel
"DAR co-founder Flora Darling founded a ""Daughters of"" group for this next declared U.S. war",the War of 1812
"Use your plastic to pick up ""Beauty Junkies: Inside Our $15 Billion Obsession with"" this type of ""Surgery""",cosmetic
It's the 4-syllable practice of having more than one spouse at the same time,polygamy
The students who founded this univ.'s Dramatic Society in 1885 included a future Archbishop of Canterbury,Oxford
This city is on the Black Warrior River in Alabama,Tuscaloosa
Amy Ray & Emily Saliers are better known as this colorful group,Indigo Girls
In the 1600s Thomas Sydenham pioneered the use of this drug to treat malaria,quinine
"This author wrote that Dorian Gray had ""finely-curved scarlet lips""",Oscar Wilde
"From the Latin for ""from the beginning"", it's the noun used for the earliest known dwellers of a region",aborigines
"In classic commedia dell'arte, many characters wore these on their faces, but the lovers did not",masks
"This staple of North African cuisine can be a porridge, a salad or a dessert",couscous
This Irish lass is seen performing at the 1998 Lilith Fair concert,Sinéad O'Connor
"Pierre Monteux was the conductor at the uproarious 1913 premiere of this ""seasonal"" Stravinsky work",The Rite of Spring
Pride & terror mix on Mr. Kurtz' face before he makes this final exclamation,The horror!
In 1891 prehistoric human fossils given this geographic name were discovered on an Indonesian island,Java Man
"In the 1580s this Spanish novelist reportedly wrote 20 to 30 plays, but only ""The Traffic of Algiers"" & ""Numantia"" survive",Cervantes
Red & white blood cells are also called these,corpuscles
"She's no criminal, although she often steals the show",Fiona Apple
"Part-time astronomer after whom the capital of Queensland, Australia was named",(Sir Thomas) Brisbane
"The heroine of Toni Morrison's first novel wants the blondest hair & this feature, the book's title",the bluest eye
"At dig sites, these ancient household garbage dumps reveal a great deal about those who used them",middens
"The play ""Our Leading Lady"" focuses on Laura Keene, who was starring in this play the night Lincoln was shot",Our American Cousin
"At age 88 King Gustav VI was out diggin' in the ruins of these people in Acquarossa, Italy",Etruscans (or Tuscans)
"He's the character mentioned in the first line of ""Atlas Shrugged""",John Galt
"There's one of these in the center of Texas' state seal, on its flag & in its nickname",a star
"One ""headline"" featured on his talk show read, ""Suicide counselor accused of trying to kill patient""",Jay Leno
This smooth cylinder is used to flatten bread dough or to inflict a cranial injury on a philandering husband,a rolling pin
"As he did after the 1962 Calif. governor's race, on eviction he says the house won't have him to kick around anymore",Nixon
"Though it never made it into space, thanks to ""Star Trek"" fans the first Space Shuttle orbiter was called this",the Enterprise
I economize with lunch in a box,China (in lunch in a box)
The front of its state seal shows Lord Baltimore as a knight in full armor,Maryland
"Mitch Hedberg: ""The depressing thing about"" this Chris Evert sport is ""no matter how good I get, I'll never be as good as a wall""",tennis
In the 1920s Charles Strite invented the first home version of this automatic pop-up appliance,a toaster
The houseguests boot this American general who took over command of Philadelphia in 1778 for his dastardly double dealing,(Benedict) Arnold
"Seen here, it was captured on film over Manhattan shortly before its demise",the Hindenburg
"Truly, you have created a beauteous painting",Spain (in beauteous painting)
"This state's seal includes its longer, official name: ""The State of"" this & ""Providence Plantations""",Rhode Island
"On ""SNL"", Christopher Walken ""got a fever, & the only prescription is more"" of this instrument",cowbell
"To use this hinged utensil, put cloves into the extruder basket, then squeeze the handles together",a garlic press
In 1947 his fasting stopped riots in Calcutta & his sunny attitude takes him far in the game; everyone likes Mo,Gandhi
"The centerpiece of the Evergreen Aviation Museum in Oregon is this giant flying boat, piloted only once by Howard Hughes","the ""Spruce Goose"""
Your job is to find the hidden marksman,Denmark (in hidden marksman)
Both its flag & seal were re-adopted in 1967 when a portrait by Gilbert Stuart was approved for the seal,Washington
"Emo Philips: A computer ""once beat me at"" this game ""but it was no match for me at kickboxing""",chess
"From the Latin for ""strain"", it's a bowl-shaped strainer used to drain liquids from such foods as pasta",a colander
"In June of 1943, he made the cover of Life magazine along with his helicopter",Igor Sikorsky
Beach walking may require you to put on galoshes,Tonga (in put on galoshes)
"This one-word motto meaning ""ever upward"" appears on the flag & seal of New York",Excelsior
This sitcom star who played Dr. Robert Hartley said his stammer got him a home in Beverly Hills & he's not correcting it,Bob Newhart
"Despite its name, it's a slicing tool, not a guitar-like instrument, so don't strum it",a mandoline
"Also pushed out by Castro in 1959, he tells Julie Chen, ""I just didn't see the backdoor coming""",(Fulgencio) Batista
"In 2007 while undergoing renovations, this historic British tea clipper was further damaged by a fire",the Cutty Sark
Give a dog a bone & he'll bark gratefully,Gabon (in dog a bone)
"Rossini: ""The ____ of Seville""",Barber
This Boston College QB played large for the Patriots & was the CFL's most outstanding player 6 times,(Doug) Flutie
Seen here are the leaves of this type of plant that dominated the Earth 300 million years ago,a fern
"The Cervantes Prize is awarded annually to an author who works in this dialect, the basis of modern Spanish",Castillian
"Though not the best at digging, donkeys are called these in Spanish",burros
"This emigrant route started in Independence, Missouri & moved west to the Columbia River region",the Oregon Trail
"Puccini: ""The Girl of the Golden ____""",West
"We couldn't do a ""SPORTS SHORTS"" category without mentioning a few of these athletes like Laffit Pincay & Gary Stevens",jockeys
The leaves of this plant are used as a seasoning & the plant is often used as a hedge on the Pacific coast,rosemary
"Cervantes' day job was securing provisions for this ""invincible"" naval force",the Spanish Armada
A donkey tries hair extensions on its lower legs in order to become a part of the team in a commercial for this beer,Budweiser
In the NFL going into O.T. means playing this,overtime
"Stravinsky: ""The ____'s Progress""",Rake
"Even though he was 6'1"", NBA star Nate Archibald sported this diminutive nickname","""Tiny"""
NHL fans are familiar with these items,a maple leaf
"Cervantes' ""La Galatea"" was this type of romance that typically involves a society of shepherds",a pastoral
"In a Carlo Collodi tale, this protagonist turns into a donkey & is sold to a circus owner",Pinocchio
Sufferers of bronchopulmonary disease might spend some time in one of these enclosures,an oxygen tent
