Question,Answer
(Sarah of the Clue Crew levitates a ping-pong ball over a hair dryer.)  What goes up stays up when the force of air moving up from the hair dryer equals this force pulling down on the ping-pong ball,gravity
"It means to slip or slide; if you do it, you might leave a mark",skid
The area that's now the State of Indiana was acquired in this war,the Revolutionary War
Sled-dog teams that delivered serum during a 1925 diphtheria epidemic saved the town of Nome in this state,Alaska
"In baseball's American league, it's a player whose only job in the game is to bat for the pitcher as many times as needed",the designated hitter
"Popular with sushi lovers, the Atlantic bluefin this has been overfished for decades & may face extinction",tuna
"Abimelech, Lamech & Cain all commit this crime",murder
"Orenburg in Russia is famous for knitted these, scarf-like square covers for the head & shoulders in cold winters",babushka
A breaker of wild horses,a bronco buster
In 1928 presidential candidate Al Smith went against his party's position by opposing this amendment,the 18th amendment
"Begun in 1877, it's the oldest of tennis' 4 grand slam tournaments",Wimbledon
"Fishing for the slimehead, better known as the orange this, also catches & kills threatened species of deep sea sharks",roughy
"This 7th of the 10 plagues returned in Munich in 1984, damaging 250,000 cars & costing $1 billion",hail
"Gentlemen, if you don't feel like making your own ""skinny knit"" these, J, crew sells them",ties
Last-ditch Senate maneuver,a filibuster
"No autopsy was done after this president died in San Francisco August 2, 1923; the doctor just said it was apoplexy",Harding
The Staples Center in Los Angeles is home court to these 2 NBA teams,the Lakers and the Clippers
"High-market demand has caused overfishing of the Patagonian toothfish, what we call this Chilean fish",a sea bass
"For rebelling against Moses & Aaron, Dathan & Abiram were swallowed up by this",the earth
This round Jewish skullcap may be hand-knitted for special occasions,a yarmulke
"A close-fitting, often strapless bodice",a bustier
"Among the fads of the 1920s were crosswords, dance marathons & this Chinese game that uses tiles",mah-jongg
42-pound polished stones with a handle on top are slid on ice in this sport,curling
Seafloor habitat can be damaged in harvesting this religious-sounding creature also called lawyerfish,a monkfish
"Daniel tells Belshazzar, ruler of this kingdom, you've ""lifted up thyself against the Lord of heaven""",Babylon
"Make that scarf for your nephew look fancy with these on the end, from the Old French for ""clasp""",tassles
Black & Decker introduced this helpful household item in 1979,a DustBuster
"The USA's first woman governor, Nellie Tavloe Ross, governed this ""equality state"" from 1925 to 1927",Wyoming
What was originally the Houston Oilers is today this NFL team,the Tennessee Titans
"AKA St. Peter's fish, it suits us to a ""T"", having a low environmental impact when raised on U.S. farms",tilapia
"Moloch, Ashtoreth & Baal were all Canaanite these",gods
A sweater called this-knit is made by repeatedly crossing one group of stitches over another for a ropy look,cable-knit
"To ""come on like"" this is to do something with great speed or force",gangbusters
"No kidding, the name of this type of wispy cloud is from the Latin for ""curl""",cirrus
"In chapter one of ""On The Line"", she says, ""I saw a picture once of Venus pushing me in a stroller on the tennis court...""",Serena Williams
A Maverick preacher & a swashbuckling Civil War General founded Drake University in this capital of Iowa,Des Moines
"Vonnegut's ""Slaughterhouse-"" times Verne's ""Leagues Under the Sea""","100,000"
"At last, we've come upon this city and its famous Cathedral",Moscow
North Korea has an arch of this that's bigger than the one in Paris,Triumph
It's another name for a canine tooth,a cuspid
"""The Time Of My Life"" is the memoir this late actor wrote with his wife Lisa Niemi",Patrick Swayze
www.goducks.com is the official website for this West Coast school's athletics,(University of) Oregon
"Christie's ""Little Indians"" minus Tolkien's ""Towers""",8
I can almost hear the music coming from this building down under,the Sydney Opera House
"It's said that to this person, like Mr. Borge or Mr. Garber, ""belong the spoils""",the victor
"(Jimmy of the Clue Crew performs a physics demonstration.) When I swing a bucket of water, it doesn't spill, because of this force that pulls it in the center and keeps it from following its path of inertia",centripetal force
"This D-List comedian modestly titled her memoir ""Official Book Club Selection""",(Kathy) Griffin
"This University of California campus graduates more than 2,000 Banana Slugs annually",Santa Cruz
"Bradbury's ""Fahrenheit"" minus Garcia Marquez' ""Years of Solitude""",351
Look way down there--it's this Cascade Mountains body of water,Crater Lake
The items held by the fans seen here indicate they are celebrating this type of decisive win,a sweep
"The earliest period of the Paleozoic Era, it extends from about 542 to 488 million years ago",Cambrian
"The daughter of a rock legend, this former teen star told of her life of addiction in 2009's ""High on Arrival""",Mackenzie Phillips
In the '40s Enrico Fermi built a nuclear pile on a squash court at the University of this city,Chicago
"Hanff's ""Charing Cross Road"" plus Heller's ""Catch-""",106
How fortunate that we're about to make landfall on this peninsula at the southwest tip of Africa,the Cape of Good Hope
"It means to win; when it precedes ""upon"", it means to persuade",prevail
