Question,Answer
"On October 20, 1803, the senate ratified the treaty for this land acquisition",Louisiana Purchase
The lager form of this is stored in casks or vats until free of sediment,beer
"""In short, there's simply not, a more congenial spot for happily ever aftering than here in"" this place",Camelot
"There are 9 cartilages in the larynx, & the largest of them forms this bulge",the Adam's apple
"In Japan, paper currency in this unit is printed in denominations of 1,000, 5,000 & 10,000",the yen
This cousin of John Adams represents Massachusetts in the collection,Samuel Adams
"Benedict Arnold & this man's Green Mountain Boys captured Ticonderoga, May 10, 1775",Ethan Allen
This is the most popular Collins drink,a Tom Collins
"In a Jerry Herman song, this woman's name follows ""You charm the husk right off of the corn""",Mame
The dilator muscle enlarges this part of the eye while the sphincter muscle makes it smaller,the pupil
In 1986 this foreign country issued commemorative coins honoring the Statue of Liberty,France
Jefferson Davis represents this state in the hall,Mississippi
In 1866 he became general of the U.S. Army; the first officer so designated,Ulysses S. Grant
"It's the liquor in a Moscow mule, a cocktail developed by Smirnoff in 1946",vodka
"""Track Down This Murderer"" is sung near the end of this Andrew Lloyd Webber musical","""Phantom of the Opera"""
"In a single red blood cell, there are more than 300 million molecules of this iron-rich pigment",hemoglobin
"Prior to 1971, this monetary unit was divided into 20 schillings of 12 pence each",the pound
This state is represented by a monarch,Hawaii
"The name of this anti-Jackson party was introduced to the senate by Henry Clay, April 14, 1834",Whigs
"For this cocktail, the rim of the glass is usually dipped in lime juice and salt",a margarita
"In a song from ""Oklahoma"", this title line follows, ""Sweetheart, they're suspecting things""","""People will say we're in love"""
"At the hip joint, this thighbone joins the pelvis",the femur
"In this Asian country, a tugrik is equivalent to 100 mongos",Mongolia
"This military officer & author of ""Ben-Hur"" represents Indiana",Lew Wallace
In 1843 Daniel Webster resigned as this president's Secretary of State,John Tyler
Jerez de la Frontera is the center of trade in this Spanish wine,Sherry
"The two men who wrote the Broadway song heard here:  ""When you're a Jet, you're a Jet all the way / From your first cigarette to your last dyin' day / When you're a Jet if the spit hits the fan...""",Stephen Sondheim & Leonard Bernstein
"The pia mater is the innermost membrane that covers the brain, & this is the outermost layer",the dura mater
It's the monetary unit of Suriname,the (Dutch) guilder
This state is represented by a statue of Thomas Hart Benton,Missouri
This Sir Arthur Conan Doyle tale about a ghostly canine was based on local legend,The Hound of the Baskervilles
His record as the youngest international grand master in chess stood from 1958-1991,Bobby Fischer
Term for the circle that encloses a comic strip character's dialogue,a balloon
"Many say this country's ruler, Tzu-Chi, gave a deathbed command to have her nephew, the emperor, killed",China
"The word ""malossol"" on a caviar label means the roe is preserved with a minimum of this seasoning",salt
This element has two crystalline allotropes: diamond & graphite,carbon
"Some consider this author's ""The History of Henry Esmond"" his greatest work, not ""Vanity Fair""",William Makepeace Thackeray
"In 1995, 8th grader Chris Galeczka won this contest by knowing that Afghanistan is where Pashtu & Dari are spoken",the National Geography Bee
Typesetters may use the Dvorak layout on one of these; it reduces their finger movements from Qwerty,a keyboard
"This emperor for whom a wall is named built a spectacular villa at Tivoli, near Rome",Hadrian
These chocolate confections are so-called because they resemble the fancy fungi of the same name,truffles
"These charged, stable elementary particles are present in all atoms in shells around the nucleus",electrons
"The title of his novel ""Far From the Madding Crowd"" is found in ""Elegy Written in a Country Churchyard""",Thomas Hardy
"In 1995, for her groundbreaking study of African chimps, she was awarded the Hubbard Medal",Jane Goodall
This term refers to printing beyond the edges & trimming back the sheet; first aid isn't required,bleeding
"This country's King Alphonso II was known as ""Alphonso El Gordo"", which means Alphonso the Fat",Portugal
Ancient Romans cultivated these gastropods on farms; fattening them on meal & wine,snails
It's a material such as germanium whose resistivity is midway between a conductor & an insulator,a semiconductor
Philip Carey is the central character in this Somerset Maugham novel,Of Human Bondage
"The daughter of a world champion steer roper, she was the Country Music Association's best Female Vocalist, 1984-1987",Reba McEntire
Term for non-copyrighted pictures or drawings you can snip out & include in your own work,clip art
This founder of the Capetian Dynasty succeeded his father as duke of the Franks in 956,Hugh Capet
"Eggs Meyerbeer, named in honor of the composer, is made with these organs the French call reins",kidneys
"This force, supposed to act radially outward on a body moving in a curve, is a fictitious force",centrifugal force
This monumental work by Edward Gibbon covers 13 centuries until the capture of Constantinople,The Decline and Fall of the Roman Empire
In 1993 the Metropolitan Museum presented an exhibition of paintings by this grandson of Sigmund Freud,Lucien Freud
"A color separator produces four negatives: cyan, magenta, yellow & this color",black
"As a child during World War II, this current Dutch queen lived in Canada",Beatrix
"Served with bearnaise sauce, this thick cut of beef is named for a French statesman, not a French castle",Chateaubriand
It's the resistance of a fluid to a flow; syrup has a higher one than water,viscosity
"Aesculapius, Hygeia, Panacea & Apollo are all mentioned in the first line of this",The Hippocratic Oath
"In his second week as president, Jimmy Carter evoked memories of an earlier president with this type of informal speech on energy",a Fireside Chat
"In a variation of a theme, the 1983-84 season of this series ended with J.R.'s brother Bobby getting shot",Dallas
In 1949 this greeting card company's torch & shield emblem was replaced with a crown over its name in script,Hallmark
"This city was just a regional capital before Kublai Khan made it, for the first time, the political center of the nation",Beijing
Cube the bread & saute or bake it to make these to garnish soup or salad,croutons
One of these can be down or bulletproof,a vest
The 1986 Reagan-Gorbachev summit made progress on arms issues but snagged over this Reagan defense plan,"""Star Wars"""
"Tanya Roberts looked ""heavenly"" when she joined the cast of this series in November 1980",Charlie's Angels
This product's distinct circus wagon boxes have held 37 different caricatures since its 1902 founding,Animal Crackers
The military & administrative center of the Aztecs became this capital of the colony of New Spain,Mexico City
Make this breakfast dish--bread dipped in an egg-milk mixture & fried until golden brown on both sides,French toast
"A boll weevil, or an annoying brat",a pest
The wedding of this younger daughter in 1966 was a break for LBJ amid the mounting problems in Vietnam,Luci Baines Johnson
"Chad Lowe was the star of the sitcom ""Spencer""; this man starred as detective ""Spenser: For Hire""",Robert Urich
This symbol of Playboy Magazine was created by art director Art Paul in about a half hour,a bunny
"An oasis that was the residence of the Ibn Saud family, it became the capital when the country was formed in 1932",Riyadh
"Stale bread is handy as an ingredient in this Thanksgiving side dish, named for its placement inside the bird",stuffing
Type of playful prank that's the specialty of the court fool,jest
"When you take a deep breath, you can thank Bush Sr. for signing a strengthened version of this 1970 law",the Clean Air Act
Jonathan Winters showed up in the cornfield as a regular on the 1983-84 season of  this countrified laugh-fest,Hee Haw
The logo of this brand of cleanser is seen here,Scrubbing Bubbles
This North African city was once a Roman fortress named Babylon; the Mamelukes made it an African capital,Cairo
Use stale bread to make these to bind meatloaf or to coat chicken before baking; panko is a Japanese type,breadcrumbs
A lidded box for toys or jewelry,a chest
