Question,Answer
He served as FBI director under every president from Coolidge to Nixon,J. Edgar Hoover
"He told Walter Matthau in ""The Sunshine Boys"", ""You know what you are, Willie?  You're a 73-year-old schmo""",George Burns
"When visiting this New England capital, stop at Charlestown Navy Yard to see ""Old Ironsides""",Boston
The flood & the birth of Isaac are covered in this book,Genesis
In 1812 Congress denied his patent renewal for the cotton gin,Eli Whitney
"Named for its consistency, it's a beverage made by blending fruit with yogurt, milk or both",Smoothie
"She received her nickname ""Little Sure Shot"" from Sitting Bull",Annie Oakley
"Film in which Jimmy Stewart told Henry Travers, ""Well, you look about like the kind of angel I'd get""","""It's A Wonderful Life"""
"This Washington D.C. theater has been restored to appear as it did on the night of April 14, 1865",Ford's Theater
"Obadiah, the shortest Old Testament book with 21 verses, is the fourth of the 12 ""minor"" ones of these",Prophets
This Italian established wireless communication across the English Channel in 1899,Guglielmo Marconi
"To top off a French meal, you might try this pancake dish served flaming in an orange sauce",Crepes Suzette
In 1948 he became the first Democrat elected to the Senate from Minnesota,Hubert Humphrey
"He remarked to Esther Muir in ""A Day At The Races"", ""If I hold you any closer, I'll be in back of you""",Groucho Marx
"Open to the public, the U.S. Mint in this city stands near the site of its original 1792 building",Philadelphia
"These 2 books chronicle the monarchs of Israel & Judah, beginning with David & ending with Jehoiachin",Kings I & II
In 1925 this frozen food developer began marketing packaged frozen fish,Clarence Birdseye
"Lamb served in a pita & topped with onions, peppers & sauce makes up this Greek sandwich",Gyro
This photographer was a director of the Sierra Club from 1936 to 1970,Ansel Adams
"In this film Vivien Leigh cracked, ""Stanley Kowalski, survivor of the Stone Age""","""A Streetcar Named Desire"""
"This bronze symbol of Copenhagen, located in its harbor, was designed by Edvard Eriksen",The Little Mermaid
Chapters 8-10 of this Old Testament book continue the narrative from Exodus 29,Leviticus
"In 1953 he was commissioned to design a rotunda dome in Dearborn, Michigan",Buckminster Fuller
"Lynchburg, Tennessee is home to the distillery that makes this brand of sour mash whiskey",Jack Daniels
This man famous for his classification system founded Columbia Univ.'s School of Library Economy,Melville Dewey
"Elizabeth Taylor said to James Dean in this film, ""Money isn't all, you know, Jett""","""Giant"""
The graves of Wild Bill Hickok & Calamity Jane can be seen at Mount Moriah Cemetery in this South Dakota city,Deadwood
"You'll find the quotation ""To every thing there is a season"" in Chapter 3 of this book",Ecclesiastes
In 146 B.C. what's now Greece was conquered by this western Mediterranean power,Rome
"This high female voice may be classified as lyric, dramatic or coloratura",Soprano
"Canada's James Bay was named for Thomas James, who explored it while looking for this passage",Northwest Passage
In March 1996 this husband of Kim Basinger was acquitted of battering a photographer,Alec Baldwin
This country's University of Havana was authorized by the Pope in 1721 & founded 7 years later,Cuba
"In 1996 this master of horror turned to serial fiction with a 6-part thriller called ""The Green Mile""",Stephen King
Around 430 this large temple on the Acropolis was converted into a Christian church,Parthenon
"Parlando is a direction to sing with clear enunciation as if doing this, as its name implies",Speaking
It flows around the Ile de la Cite,The Seine
"On Oct. 25, 1993 John Shalikashvili became the first foreign-born chairman of this group",Joint Chiefs of Staff
The Meadows Museum at this church-founded Dallas school houses a large collection of Spanish art,Southern Methodist University
This Peter Benchley book about a giant killer squid was turned into a 1996 TV miniseries,"""The Beast"""
This city-state's men were required to eat in the soldiers' barracks  until age 60,Sparta
"The name of this type of sailors' work song is derived from the French word for ""sing""",shanty
Ulm in this country is home to the cathedral with the tallest spire in the world,Germany
Christine Todd Whitman was elected the 50th governor of this state in 1993,New Jersey
"The Artificial Intelligence Laboratory is located at this Boston-area ""institute""",MIT (Massachusetts Institute of Technology)
