Question,Answer
You take the SAT exam to get into college & the LSAT to get into one of these schools,Law School
"After death, this faith's devout members get houris, celestial handmaidens",Islam
"In ""Ivanhoe"" the black knight who rescues Wilfred & Rowena is really this king in disguise",Richard the Lionhearted
This measure of sound intensity is named for Alexander Graham Bell,Decibel
In 1804 & again in 1837 Jackson retired from public life to this estate,The Hermitage
"Sonny & Cher's only No. 1 hit, they used to sing it at the close of their TV show","""I Got You Babe"""
Nickname formed from the initials of the Government National Mortgage Association,Ginnie Mae
"The last words of this first president to die were, ""It is well I die hard, but I am not afraid to go.""",George Washington
"For saving this little girl from the waters of the Mississippi, Uncle Tom was bought by her father",Little Eva
What Michael Begon & J.G. Zinn had named after them,Flowers (begonias & zinnias)
It's what Jackson had in common with Lewis Robards from Aug. 1791 to Sept. 1793,Same Wife (they both thought they were married to the same woman)
"Group whose first No. 1 hit, ""Cherish"", was recorded in a garage that was converted to a studio",The Association
"You could see one of them write down ""q.i.d."", but you might find it hard to read",Doctors (they write that down on your prescription; take it 4 times a day)
Romeo commits suicide by drinking poison whereas Juliet kills herself using this,A Dagger
John D. MacDonald used colors in the titles of all the adventures of this private investigator,Travis McGee
Two foods named for opera singer Dame Nellie Melba,Melba Toast & Peach Melba
Jackson's choice for minister to Great Britain; after the Senate turned him down he became VP & then president,Martin Van Buren
"The Beatles' 8th No. 1 hit, it begins ""I think I'm gonna be sad""","""Ticket To Ride"""
It's an editor's abbreviation for more than one manuscript,MSS
"In 1984 this author of ""The Complete Book of Running"" died while running",Jim Fixx
"Educated at Rennsselaer Polytechnic, he built railroads & bridges before his amusement park ride",George Washington Gale Ferris
Collective term for Jackson's unofficial group of presidential advisors,"""Kitchen Cabinet"""
"They had No. 1 hits with Bob Dylan's ""Mr. Tambourine Man"" & Pete Seeger's ""Turn, Turn, Turn""",The Byrds
"A cousin to the R.A.F., the R.A.A.F. is this",Royal Australian Air Force
"By custom, books printed in the U.S. carry this library's card catalogue number on the copyright page",Library of Congress
A simple one of these consists of a small weight swinging to & fro on the end of a string,Pendulum
"Paris was known by its Celtic name ""Lutetia"", when he took it from the Parisii tribe in 52 B.C.",Julius Caesar
Providence County is this state's largest county in both area & population,Rhode Island
"It ""makes all men equal"" & ""makes the world go round""",Love
"He fled the Potala, his palace in Tibet, when Chinese forces invaded Lhasa in 1959",The Dalai Lama
"Of 4-6 pages, 14-20 pages or 40-60 pages, the size of the typical Soviet daily newspaper",4-6 pages
The process by which a substance changes from liquid to a gas is called this,Vaporization
"Cleopatra had 4 children out of wedlock, 3 fathered by this Roman",Marc Antony
"Symbols of the Cherokee, Chickasaw, Creek, Choctaw & Seminole Indian nations are on its seal",Oklahoma
"He coined the saying, Early to bed & early to rise makes a man healthy, wealthy & wise""",Benjamin Franklin
"From 1561-1567, Holyrood Palace in Edinburgh was the home of this queen of Scotland",Mary Stuart
"""The Talk Of The Town"" is a weekly feature of this magazine also known for its drawings",The New Yorker
"The planets that are smaller than Earth are Mercury, Venus & these two",Mars & Pluto
"The earliest known civilization, it was home to the Sumerians & Akkadians",Mesopotamia
"State whose motto ""Eureka"", meaning ""I have found it"" is attributed to Archimedes",California
"They're the ""Windows of the Soul""",The Eyes
King of Bavaria whose Neuschwanstein Castle might be called a monument to his madness,Ludwig II
"""The Budget"" is a weekly paper published nationally for members of this Mennonite sect",Amish
An LED; it's used for displaying readings on digital watches & calculators,Light Emitting Diode
The Hebrew kingdom split into Judah & Israel after the death of this king,Solomon
"This ""Tree Planters State"" in the midwest has the only 2 man-made national forests in the U.S.",Nebraska
Proverb that was the title of a Kaufman/Hart play about an unconventional family,"""You Can't Take It With You"""
"Huis Ten Bosch Palace, home of Holland's Queen Beatrix, is in this city",The Hague
"""News You Can Use"" & ""Worldgram"" are registered trademarks of this magazine",U.S. News & World Report
"When this scientist discovered oxygen, he called it dephlogisticated air",Joseph Priestley
"The ruins of Ur are in a desert because this river, which once ran near it, changed course",Euphrates
The Great Serpent Mound near Hillsboro in this state is an ancient Indian burial site,Ohio
"In a Thomas Gray poem this precedes "" 'Tis folly to be wise""",Where Ignorance Is Bliss
Hiram Bingham claimed he found a castle of the Incas in this remote fortress city he excavated,Machu Picchu
This actor won a 1952 Tony and a 1956 Oscar for playing the same ruler,"Yul Brynner (\""The King & I\"")"
Kansas' 10-member Board of this has made news for its doubts about Darwin,Education
"In 1951 he was ""The King""; Gertrude Lawrence was ""I""",Yul Brynner
"Dr. Jonas Salk, Dr. Louis Pasteur, Dr. Benjamin Spock",Dr. Louis Pasteur
"This ""chaste"" sixth sign of the Zodiac gets bold today! You're feminine, but you can play with the big boys!",Virgo
The Severomuyskiy Tunnel stretches 9 1/2 miles in this nation,Russia
Fred Grandy popped up as Gopher on this cruisin' TV show,The Love Boat
"(Jon of the Clue Crew reporting from the Clinton Presidential Library in Little Rock, AR.) The Bill Clinton library's cabinet meeting room shows that the President has the Defense Secretary on his left and this cabinet officer on his right",Secretary of State
"In 2002 this ""Notes on a Scandal"" dame went ""Into the Woods"" as Giant (well, her recorded voice did, anyway)",Judi Dench
"Tiberius Caesar, Augustus Caesar, Sid Caesar",Augustus Caesar
"Today people will feel the ""sting"" of this fixed water sign, the Zodiac's eighth! You have the answer! Say it!",Scorpio
"Traveling under the Alps, the Great St. Bernard Tunnel connects Italy to this country",Switzerland
"It's not a vixen's mitten, it's a traditional herb used in medicines & also known as figwort",foxglove
This type of joint committee settles differences between Senate & House versions of a bill,Conference Committee
"In 1968, before the force was with him, he landed the lead in ""The Great White Hope""",James Earl Jones
"Ulysses Grant, Abraham Lincoln, Franklin Pierce",Franklin Pierce
"This sign has carried the water for ""ages""! You're positive! Make things happen today!",Aquarius
"Dating from the time of Hezekiah, the Siloam Tunnel diverts water under this city to a pool inside the city walls",Jerusalem
Adjective for the hoof of a goat or a devil,cloven
