Question,Answer
The Song Dynasty introduced this type of currency in the 11th century to replace strings of metal disks,paper currency
Frank Whittle designed this type of propulsion in a thesis paper while at the RAF College in 1928,jet propulsion
We'd like to think this furniture piece isn’t used anymore during acting auditions,the casting couch
"(Kelly of the Clue Crew walks next to an antique pump engine in the NY City Fire Museum.)  This double-decker engine was part of the festivities when this opened in New York Harbor on October 28, 1886",the Statue of Liberty
In 1905 this man for whom an Arizona observatory is named started a search for Pluto,Percival Lowell
In this 1977 film Burt Reynolds avoids cops while making a major beer run in a Trans Am,Smokey and the Bandit
The 2nd century B.C. Chinese leader Wu Ti was called the Warrior this (a higher rank than Xena),Emperor
"Halley asked about the orbit of planets, leading this man to answer with the ""Principia Mathematica""",Newton
"Hey, baby, you a Gemini?  These twin brothers of Helen of Troy are, literally",Castor & Pollux
(Kelly holds a tiny fire helmet in the NY City Fire Museum.) The 343 doesn't represent a fire company; it represents this number from the New York City Fire Department's saddest day,the number of dead from 9/11
"Discovered in 1978, this moon of Pluto bears the name of a Greek mythological ferryman on the River Styx",Charon
"Before it got updated with a Hemi, this Dodge muscle car pursued Steve McQueen's Mustang in ""Bullitt""",the Charger
"This desert covers about 500,000 square miles of Northeast China & Mongolia",the Gobi
"Who knows where he found the time to write over 100 books like ""Kipps"" & ""The History of Mr. Polly""; maybe he had a machine",(H.G.) Wells
Thith type of Thpanish is the official language of Thpain,Castillian
(Sarah walks next to another antique pump engine at the NY City Fire Museum.) A 19th century fire chief worried engines powered by this were so mighty that the water would cause more damage than the fires,steam
In 1930 he discovered Pluto; in 2006 some of his ashes were headed there aboard NASA's New Horizons mission,Clyde Tombaugh
"This 2001 Vin Diesel street-racing film popularized Honda ""Tuners"", personalized cars that are the new hot rods",The Fast and the Furious
Legend says Bodhidharma first taught kung fu to monks at this famous Chinese temple,the Shaolin Temple
"This philosopher of the Enlightenment helped shape the U.S. Constitution with his ""Two Treatises""",John Locke
To criticize or reprimand severely,castigate
(Sarah walks around a decorated antique hose reel in the NY City Fire Museum.) The infamous Boss Tweed began his public career as a volunteer fireman & this hose reel from his era had the tiger symbol of this organization,Tammany Hall
"The 2 outlets of the Gulf of Mexico, a strait & a channel, bear the names of these 2 land areas",Florida & the Yucatán peninsula
How cool!  In 1998 New Hampshire adopted this as its state sport,skiing
"In 1957 this lady sang the blues, a song called ""Fine And Mellow"", on the CBS special ""The World of Jazz""",Billie Holiday
The Taronga Zoo in this Australian port city is famous for its koala walkabout exhibit,Sydney
"It was a mistake to go near this part-leonine creature; if you couldn't solve its riddles, it would eat you",the sphinx
"If you have your heart set on being a lance corporal, this is the only U.S. armed service that offers that rank",the Marines
"I wasn't surprised to see that overacting thespian eat the Smithfield type of this (he really is one, you know)",a ham
Speak up now if you know that a college in Nashua is named for this great New Hampshire orator,Daniel Webster
"At age 6, Wynton Marsalis received his first trumpet from this New Orleans trumpeter known for ""Cotton Candy""",Al Hirt
"Of 6, 16, or 60 years, the closest to the average life expectancy of a koala",16
If only Remus hadn't jumped over a wall on the Palatine hill; that may be why this sibling killed him,Romulus
In 1841 Matthew Perry was promoted to this rank,Commodore
Gorge on these chocolate-&-peanut butter bars (or let them slip through your digits) & folks will call you this,Butterfingers
"New Hampshire's chief seaport, it was founded as Strawbery Banke in 1630",Portsmouth
"Many of the TV generation know this jazz singer by her '70s ads that asked ""Is it live or is it Memorex?""",Ella Fitzgerald
In 1967 a talking koala became the spokesmarsupial for this airline,Qantas
This god milked his affair with Io for all it was worth: he had to turn her into a cow to protect her from his wife,Zeus
"In 1875 Franz Ferdinand, future heir to the Austro-Hungarian throne, inherited this title",Archduke
I couldn't believe it when I saw the boss eat a 20-lb. wheel of brie--that's why we gave him this title,the Big Cheese
In 2003 New Hampshirites were stunned as this stony landmark of theirs just crumbled away,the Old Man of the Mountain
"Albums by this guitarist include ""A Day in the Life"" & ""Movin' Wes""",Wes Montgomery
"Like other marsupials, this is the term for a baby koala",a joey
"Some say that Phineus mistreated his kids, which is why these bird-like female monsters plagued him",harpies
The wife of a reigning monarch is referred to as the Queen this,Consort
"Hey, you!  You with the long-lasting caramel sucker & the blond in the mink!  Bet she calls you this!",Sugar Daddy
In 1944 this resort area in the White Mountains was the site of an important U.N. monetary conference,Bretton Woods
In 1977 this saxophonist for the Dave Brubeck Quartet was elected to the Downbeat Magazine hall of fame,Paul Desmond
"The word koala comes from the language of the Australian natives & means ""animal that doesn't"" do this",drink
"Thinking it was a love potion, Deianira dipped a shirt meant for him in poisoned blood--oops!  It killed him",Hercules
Inheriting property & title from her deceased husband made Tz'u-hsi of China this kind of Empress,Dowager
"You're such a grouch!  For your June 25th birthday I'm serving you this, the symbol of your zodiac sign",a crab
"Robert Caro's ""Means of Ascent"", a biography of this Texan President, recounts his early Senate victories",Lyndon Johnson
On this '50s sitcom Frank Bank played Lumpy,Leave It to Beaver
"Fold a cloth into a triangle, gently slip the widest part under the arm, tie the ends around the neck",make a sling
"Johnny has left the building wearing these  ""You can knock me down / Step on my face / Slander my name all over the place...""","""Blue Suede Shoes"""
"""My wallpaper and I are fighting a duel to the death.  One or the other of us has to go"", quipped this Irish playwright",Oscar Wilde
7-8-9: A type of hyena,laughing
"This writer won for his novel ""The Counterlife"" & for the biography ""Patrimony"", but not for ""Portnoy""",Philip Roth
Most geologists believe the earth's core to be mainly a heavy compressed lump of this metal,iron
