Question,Answer
"Minnie, as in Mouse, is a pet name of this female version of William",Wilhelmina
"(Gilbert reads, with organ music.) At Emily and Drake's wedding, Trent meets Brad; they hit it off & take a ""fun"" cruise on this Kathie Lee advertised line",Carnival
"In this play the question is, who's going to die--the King, the Queen, Ophelia & the title guy do",Hamlet
"The Port Authority of New York and New Jersey operates JFK, LaGuardia & this Jersey Airport",Newark
In 1905 this most famous formula was first published in Annalen der Physik,E = mc2
"1979:  ""In space no one can hear you scream""",Alien
"""The Union of Earth & Water"", seen here, was painted by this zaftig-loving Baroque artist",Rubens
A knockout punch,a haymaker
"An anaconda squeezing her to death in Act V wouldn't work, so will used an asp instead",Cleopatra
"On Aer Lingus to Ireland, you may land at Dublin Airport or at this one whose code is SNN",Shannon
"The 4 basic forces that exist in nature are strong, weak, etectromagnetic & this one",gravity
"1999: ""Everyone dies. Not everyone leaves.""",The Sixth Sense
"He's the unique neoimpressionist whose work ""Study for Le Chahut"" is seen here",Georges Seurat
"""But where is the boy who looks after the sheep? He's"" here","""under the haystack (fast asleep)"""
"Will had this title man do the dirty work in Act V, smothering his wife for her supposed infidelity",Othello
What is now Miami International Airport was built in 1928 by this hemisphere-covering airline,Pan American
Term for the point toward which lines of magnetic flux converge,a pole
"1997: ""Julianne fell in love with her best friend the day he decided to marry someone else""",My Best Friend's Wedding
"As evidenced here, this artist's Neoclassic style made him a favorite of French rulers",David
In the early 1960s he co-founded Students for a Domocratic Society while attending the University of Michigan,Tom Hayden
"Banquo & his kid Fleance were ticking Will off, so he penned this play & tried to knock 'em off; only got Dad",Macbeth
A terminal at LAX is named for this former L.A. mayor who's buried in nearby Inglewood,Tom Bradley
His principal states a body floating in a fluid will displace a weight of the fluid equal to its own weight,Archimedes
"1967: ""They're young... They're in love... And they kill people""",Bonnie & Clyde
Pollinosis,hay fever
"Will thought he'd keep this pal of Romeo alive, but the ""plague o' both your houses"" speech really worked",Mercutio
The Tokyo international airport opened in 1978 to partly replace Haneda is commonly called this,Narita
"In superconductivity this isn't futile, it's basically nonexistent in the material",resistance
"1980: ""They're on a mission from God""",The Blues Brothers
"The identity of the person who threw the bomb during this May 4, 1886 Chicago riot was never determined",Haymarket
This author & biochemist who died in 1992 has at least one book in all 10 main Dewey Decimal categories,Isaac Asimov
This Great Lake is Minnesota's lowest point at an elevation of 602 feet above sea level,Lake Superior
"This TV superhero flies in an invisible plane, but how does she find it?",Wonder Woman
8 furlongs equals 1 _____,a mile
"""I had a little"" one of these, ""his name was Dapple Gray; I lent him to a lady to ride a mile away""",a pony
"In a short-lived in Belgium in 1879, these house pets were used to carry bundles of mail",cats
"It's the pedal ""put to the metal"" (by professional drivers under controlled conditions)",accelerator
"At 282 feet below sea level, it's California's, and the USA's, lowest point",Death Valley
On this series test pilot Steve Austin is critically injured in a plane crash,The Six Million Dollar Man
"4,840 square yards equals 1 _____",acre
"Mark Twin said, ""It's not the size of"" this animal"" in the fight, ""it's the size of the fight in"" this animal",a dog
One of the first non-heads of state to appear on a stamp was this American on the U.S. 5-cent stamp in 1847,Benjamin Franklin
It's the antonym of oriental,occidental
"The highest lowest point of the 50 states is 3,350 feet above sea level in Yuma County in this state",Colorado
Howling Mad Murdock could fly anything from a crop duster to a 747 for this title group,the A-Team
2 bottles of champagne equals 1 _____,a magnum
"The Book of Judges reports Samson's riddle concerning ""A swarm of bees and honey in a carcase of"" this",a lion
The first known air mail service took place in Paris in 1870 by this conveyance,hot-air balloon
"(Jimmy of the Clue Crew is cooking something up in the kitchen.)  Before baking, sprinkle this Italian bread with olio, sale, & rosmarino -- oil, salt, & rosemary",focaccia
Idaho's lowest point lies in Nez Perce County along this river,the Snake River
Timothy Daly & Steven Weber played brothers & airline pilots on this sitcom,Wings
(Cheryl of the Clue Crew stands in front of an oil pumpjack in Oklahoma City.)  The pumpjack has to pump 42 gallons of oil out of the ground to equal one of these units,a barrel
"This Hans Christian Andersen bird ""had come to sing of comfort & hope, as he sang, the phantoms grew pale""",the nightingale
"Postal markings dating back to this civilization in 3000 B.C. translate as, ""In the name of the living king, speed!""",Egyptians (Egypt)
"In southern Europe, sometimes it's a dry, dusty wind from Africa, sometimes a warm, sultry wind with rain",sirocco
Janine Turner played feisty air taxi pilot Maggie on this quirky series,Northern Exposure
"John Donne called it ""Nature's great masterpiece ... the only harmless great thing; the giant of beasts""",an elephant
This country doesn't have its name on its stamps; usually it has the king or queen's head,the United Kingdom
It's Bach to basics for this type of piece,toccata
"""Be but sworn, my love, and I'll no longer be a Capulet""",Juliet
Every August Elvis Presley fans gather at this Memphis mansion for a week-long celebration of his life,Graceland
(Jimmy of the Clue Crew is holding an aluminum bat.)  The first national winner of Hillerich & Bradsby's Silver Bat Award in 1949 was this Dodger second baseman,Jackie Robinson
"This 2-word Latin phrase means ""by the fact itself""",ipso facto
The USA's official observance of Veteran's Day takes place at this cemetery,Arlington
"Based on a 17th century satire, this tone poem from composer Richard Strauss features a viola as Sancho Panza",Don Quixote
"""A horse! A horse! My kingdom for a horse!""",Richard III
"Its frappucino beverage was named one of ""the best new products of 1996""",Starbucks
"On Dec. 1st, 1955, 4 blacks were asked to move to the back of the bus in Montgomery; 3 did, she didn't",Rosa Parks
"When a roulette croupier says ""faites vous jeux"", he's asking players to do this",place your bets
Karl Marx & Michael Faraday are both buried in this city's Highgate Cemetery,London
Heard here is some suite stuff by this composer,Debussy
"""Out, damned spot! Out, I say!""",Lady Macbeth
She's so outrageous that in 2002 she got her own TV show,Anna Nicole Smith
"This big band leader won 3 Grammys for his work on the 1959 courtroom drama ""Anatomy of a Murder""",Duke Ellington
"It's not bubble gum, it's a Greek stringed instrument that's like a lute",a bouzouki
"Appropriately, New York state's Sleepy Hollow Cemetery is where you'll find this author's grave",Washington Irving
Death plays the violin at midnight while skeletons cavort in this Saint-Saens composition,Danse Macabre
"""For I am he am born to tame you, Kate""",Petruchio
"Neil Diamond's 1982 hit ""Heartlight"" was inspired by this movie",E.T.
"The publisher of such abolitionist papers as North Star & New National Era, he later became a marshall in D.C.",Frederick Douglass
Term for the Mrs. of a Maharajah,Majarani
This city's Lafayette Cemetery appears in several of Anne Rice's Vampire novels,New Orleans
"""The Pig-Headed Peasants"" is one of the lesser-known works of this late 19th century Czech composer",Dvorak
"""I am a man more sinned against than sinning""",King Lear
"He's the beloved comic strip character seen here with his friend Albert, back in 1948",Pogo
"A junior high school in Harvey, Illinois is named for this ""In the Mecca"" poet",Gwendoyln Brooks
This noted cemetery in Paris is named after the Jesuit father who was the confessor of King Louis XIV,the Pere (Father) Lachaise Cemetery
"On August 10th, 2003, Rafael Furcal of the Braves became only the 12th man in MLB history to perform this single-handedly",a triple play
"Hans Christian Anderson: ""The ____ and the Pea""",Princess
He's been made an honorary ambassador to the city in Japan that shares his name,Kobe Bryant
"New World vultures lack a organ called a syrinx, so they also lack this; all they can do is hiss & grunt",vocal cords
Al Gore & Tommy Lee Jones were roommates at this Ivy League school,Harvard
Get your feet moving to this game based on an NBC reality show that wants to help you shed some pounds,The Biggest Loser
"...from ""native"" & it becomes this--simple & unsuspecting",naive
"Sophocles: ""Oedipus ____""",Rex
"(Jimmy of the Clue Crew hangs on a basketball hoop.)  If I hang on the rim after one of my thunderous dunks, I'll be hit with this 2-word infraction",a technical foul
"Sometimes it dines on crustaceans & fish, but the palm-nut vulture's diet is primarily this, aka herbivorous",vegetarian
These Sesame Street Muppet roommates have shared an apartment since 1969,Bert & Ernie
"This ""colorful"" game from Rock Star follows former outlaw John Marston as he tames the West",Red Dead Redemption
"...from ""portion"" & you get this type of magic drink",potion
"Machiavelli: ""The ____""",Prince
In 1994 he hit 3 HRs for the Double-A Birmingham Barons; in '96 he was the NBA's season & finals MVP,Michael Jordan
A New World vulture known as the Andean this is so large that it sometimes preys on newborn calves,condor
"As a senator, this bachelor president roomed with future Vice President William King",James Buchanan
"I hit it big when Nintendo re-created my likeness with one of these, which rhymes with the gaming console you play on",Mii
"...from ""insane"" to get this word meaning silly",inane
"Spenser: ""The Faerie ____""",Queen
(Jimmy of the Clue Crew bounces the ball on the court.) The alliterative action that I'm demonstrating results in this infraction & puts my team on defense,double dribble
"When feeding, vultures keep strict order based on body size & the strength of this, used for tearing hide & flesh",a beak
"While rooming with his brother Vincent van Gogh, he introduced Vincent to some Impressionist friends",Theo van Gogh
"""Dante's Inferno"", which is loosely based on this 14th century poem, involves a hellish journey to find Beatrice",The Divine Comedy
"...from ""invert"" & you'll render it this, meaning motionless",inert
"Oscar Wilde: ""____ Windermere's Fan""",Lady
"Though he didn't play organized hoops until 9th grade, this Spurs center is a 3-time NBA Finals MVP",Tim Duncan
This word for the type of bird vultures are is from an old word meaning a toll collector,scavenger
"At Juilliard in the '40s, this ""Bird"" of a sax player roomed with trumpeter Miles Davis",(Charlie) Parker
"With the Green Lantern, Wonder Woman & Superman, you've got to be gaming in this comic book label's universe",DC
"...in ""sentiment"" to become this--conscious or aware",sentient
A court said 1998's Dickey-Wicker Amendment clearly bans federal funding for research on these embryonic cells,stem cells
"""I'm stayin' up all night hopi",Ke$ha
"Melpomene is the muse of tragedy & her sister Thalia, of this",comedy
"Smith College students can sip this at the Haymarket Cafe, knowing it's what ""cafe"" means",coffee
This telegraph inventor was a charter trustee of Vassar College,Morse
Loud speaker (6),orator
The administration had trouble getting a moratorium on deepwater this past Judge Feldman,drilling
"On Jay Sean's hit ""Down"", this ""diminutive"" guy steps in to rap, ""Honestly, I'm down like the economy""",Lil Wayne
"Urania, the muse of this science, is sometimes shown wearing a cloak embroidered with stars",astronomy
"Bring your sonnets to the Rye Bar in Athens, Georgia on Mondays-- it's this ""night"" for unscheduled performers",open mic night
"During a trip to Europe in 1804, this South American liberator vowed to fight for independence from Spain",Bolívar
Unit of fluid weight (5),ounce
In July a judge blocked major provisions of this Southwestern state's SB 1070,Arizona
"On ""Miss Me"", this Degrassi alum raps, ""I'll be at my table stackin' dollars to the perfect height""",Drake
"Clio is the muse of this & is often depicted with a scroll, perhaps to record the deeds of men through the ages",history
The Cougar Cottage is convenient to this Pacific Northwest campus in Pullman,Washington State
"At the Diet of Worms in 1521, he said, ""I cannot and will not retract anything""",Martin Luther
To swing like a pendulum (9),oscillate
A court nixed these on Utah public roads to honor fallen state troopers--they imply a state religious bias,crosses
"This rapper born Calvin Broadus teamed with The-Dream on ""Gangsta Luv""",Snoop Dogg
"This patron of epic poetry is usually pictured with a writing tablet, not a steam-powered circus instrument",Calliope
"Governor Charlie Crist has been known to stop in at Big Daddy's, famed as a hangout for this school",Florida State
This woman who led the birth control movement in the early 1900s was a founder of what became Planned Parenthood,(Margaret) Sanger
Round trip (5),orbit
In August a Montana federal judge ruled that these predators may not be hunted,wolves
"On ""Love The Way You Lie"", Eminem raps, ""Now you get to watch her leave out the window/Guess that's why they call it"" this",window pane
"The name of this muse is from the Greek for ""delighting in dance""",Terpsichore
"Long night of, uh, studying at this College Park school? How about a feta omelette at Plato's Diner",the University of Maryland
"For a time, this French author & philosopher lived at the court of Prussian king Frederick the Great",Voltaire
"Barrier, as to justice (11)",obstruction
"Words found in this 1945 fable include brood, baying, bleating, comrade, tyranny & rebellion",Animal Farm
"In 1928 this cubist & Julio Gonzalez pioneered in welded sculpture: 1950's ""She-Goat"" is a famous example",Pablo Picasso
"""Suddenly I'm not half the man I used to be""","""Yesterday"""
"Surimi, meaning ""formed fish"", turns up in packages labeled this type of ""crabmeat"" & ""lobster""",imitation
"Chandler helps Perry & Henson discover this on April 6, 1909 after he asks, ""Could it be any more cold?""",North Pole
Where surgery is performed: OR,operating room
This salty smoked salmon tastes great on a bagel,lox
Both Rodin & Brancusi (who once worked for Rodin) did sculptures of an embracing couple titled this,"""The Kiss"""
"""Say you don't need no diamond ring and I'll be satisfied""","""Can't Buy Me Love"""
"Umeboshi are plums that are pickled, not tickled, this color",pink
"Thinking she's dressed as an Indian for a costume party on Dec. 16, 1773, Phoebe attends this Mass. event",Boston Tea Party
A doctor: GP,general practitioner
"Dating from around 2500 B.C., it's 240 feet long, 66 feet tall & its face was modeled after the pharaoh Khafre",the Sphinx
"His suspended abstract sculptures were given the name ""mobiles"" by Marcel Duchamp",Alexander Calder
"""Take these broken wings and learn to fly""","""Blackbird"""
Dashi-no-moto is the instant version of dashi; add water & you'll have this,soup
"Joey says, ""How you doin'"" to this actor on April 14, 1865 but has no idea what ""Sic Semper Tyrannis"" means",John Wilkes Booth
Common antibiotic: PCN,penicillin
"A 3-letter word for ""to veto"", or a German water sprite",nix
This Edvard Erikson sculpture guards Copenhagen Harbor,"""The Little Mermaid"""
"""The girl that's driving me mad is going away""","""Ticket to Ride"""
"Before each bite of sukiyaki, some dip it into this, beaten & raw",eggs
"In 1540 Rachel says sorry, she hasn't had much luck with marriage, so this king marries Anne of Cleves instead",Henry VIII
Painful disorder of the joints: RA,rheumatoid arthritis
"During an 1878 epidemic of this disease, Calamity Jane helped care for the victims",smallpox
"In a colossal bronze by Cellini, Perseus is holding the head of this gorgon",Medusa
"""Jojo left his home in Tucson, Arizona for some California grass""","""Get Back"""
"The Japanese name for this flavor enhancer, also popular in Chinese cooking, is Aji-No-Moto",MSG (monosodium glutamate)
"Monica ends up in France on July 14, 1789 & freaks out at the mess Parisians make storming this prison",the Bastille
"Useful lab test which can detect infections, anemia, etc.: CBC",complete blood count
A whirling mass of air or water,vortex
Its return about every 76 years has been documented back to 239 B.C.,Halley's Comet
His work at Alfred A. Knopf made Chip Kidd a superstar in designing these,book covers/jackets
"Yo, as part of his morning workout, this title movie boxer runs up the steps of the Philadelphia Museum of Art",Rocky
"His ""Last Stand"" came at the hands of the Cheyenne & the Sioux",George Custer
"It's the Canadian province that borders the state of Washington, eh",British Columbia
You can find Boot Hill Museum on Wyatt Earp Blvd. in this Kansas community,Dodge City
The Puerto Rico Trench has the Atlantic's deepest point; this trench has the Pacific's,Marianas Trench
[Sofia of the Clue Crew at the Civic Opera House in Chicago],Art Deco
"After getting a nice motherly stab, Martin Balsam careens backwards down the stairs in this Hitchcock classic",Psycho
This 18th century man composed the music heard here: (Cheryl of the Clue Crew singing the following)  Behold a virgin shall conceive and bear a son and shall call his name...,George Frideric Handel
Washington State University was closed for a few days in May 1980 because of the eruption of this nearby volcano,Mount St. Helens
This team plays its home games in Texas Stadium,Dallas Cowboys
"Divided into 3 parts as its name implies, this period came right before the Jurassic",Triassic
"The luxo, with springs to tilt it at the correct angle, is a favorite desktop one of these",lamp
"(Sarah of the Clue Crew in Washington, D.C.)  The steps leading from Prospect Street to M Street, seen here, were featured in this 1973 thriller",The Exorcist
"At a speech given at Harvard in 1947, this man laid out his namesake plan for European economic recovery",George C. Marshall
The highest summit in Washington state was given this name by George Vancouver in 1792,Mount Rainier
Pullman's Delmonico became the first of these railroad carriages in 1868,dining car
Suffering from premature ignition?  You may want a gas where this indicator number is greater,octane
"Type of design that's the title of a work by Raymond Loewy, who designed bottles, cars & refrigerators",industrial design
A baby buggy careens down steps in a famous scene from this Russian film,Battleship Potemkin
"Asked why he wanted to climb Mount Everest, he famously responded, ""Because it is there""",George Mallory
"Nicknamed ""Scoop"", he represented Washington in the U.S. Senate for 30 years",Henry Jackson
"This cable outlet airs TV shows like ""Blue Planet"" & ""Walking With Prehistoric Beasts""",Discovery Channel
"Symbolized D & called heavy hydrogen, it won a Nobel Prize for its discoverers",deuterium
"Softened by steam, it's the type of wood used to make the 19th century chair seen here",bentwood
Robert Preston & Angela Lansbury starred in the film version of this 1957 William Inge play,The Dark at the Top of the Stairs
