Question,Answer
"A 3""-tall ivory figure found in Abydos is the only known image of this Great Pyramid king",Cheops (Khufu)
"Harcho, a spicy soup from the Caucasus, is made from this meat that's older than lamb",mutton
Prepositional term for an 1861-65 war,The War Between The States
Geographic features of this state include the San Juan Islands & the Strait of Juan de Fuca,Washington
"In Weber's Test of Hearing, one of these vibrating instruments is placed on the forehead",tuning fork
"You don't have to be a ""luna""tic to like this Wilkie Collins novel that was filmed in 1934",The Moonstone
"The name of this land to the south of Ancient Egypt may be from the word nub, ""gold"", or nob, ""slave""",Nubia
"Ivan makes this chicken dish, named for Ukraine's capital, so the butter squirts out when you cut it",Chicken Kiev
"Term for a double play started by the third baseman, or a voyage past the tip of South America",around the horn
"It has only 9 places with 5,000 or more people, including Kenai, Ketchikan & Sitka",Alaska
This inflammation of the membranes that cover the brain can be epidemic,meningitis
"This screenwriter claimed that his initials, I.A.L., stood for Interscholastic Algebra League",I.A.L. Diamond
"Ancient Egypt's capital for centuries, its ruins supplied the stones used to build Cairo",Memphis
Thin slices of tender beef go into this entree named for a count & served in a rich sour cream sauce,Beef Stroganoff
"A state of high emotion, or Dolly's position in the photo seen here:",beside yourself/one's self
"It was the first, first, first, first film to use Cinerama's single-projector system","It's A Mad, Mad, Mad, Mad World"
2 of Chile's Juan Fernandez Islands are named for Alexander Selkirk & this fictional castaway he inspired,Robinson Crusoe
Suggestions on what to call this device ranged from farscope to telebaird,Television
It's one layer of toilet paper or wood,Ply
"James Whitcomb Riley wrote of the time when this ""is on the punkin"", & he didn't mean a fellow poet",Frost
Continent Columbus thought he was going to when he set sail in August 1492,Asia
Bull's-Eye was Bill Sikes' mean dog in this Dickens novel,"""Oliver Twist"""
This river in Washington & Oregon was explored by Robert Gray in a ship of the same name,Columbia
"Hubert Booth, not Herbert Hoover, developed the first practical electric one of these in 1901",Vacuum cleaner
"A young fish, a way to cook it, or a ""small"" (unimportant) person",Fry
"It must be hard to sleep late in Kipling's ""Mandalay"", where ""The dawn comes up like"" this",Thunder
"In 1932's legendary ""Called Shot"" his gesture indicated the ball would be going into the center field bleachers",Babe Ruth
"Lobo sang about ""Me and You and a Dog Named"" this",Boo
"In 1697 Jesuits founded Loreto, the 1st permanent European settlement on this ""lower"" peninsula",Baja California
In 1982 one of these vehicles deployed a satellite for the first time,Space shuttle
"An eye irritation, or a pigpen",Sty
"The Pacific Northwest is the setting for David Guterson's novel ""Snow Falling on"" these",Cedars
Jesus went from Bethany to this city where he had his last meal,Jerusalem
He's Augie Doggie's father,Doggie Daddy
The island of Mindanao is a Muslim center in this mainly Roman Catholic country,Philippines
"Until a 1967 table top model with a smaller electron tube was introduced, this kitchen device was big & pricey",Microwave oven
"A large coffee container, or a large vase to stash one's ashes",Urn
"(Here's Al Roker with the clue)  This type of low-pressure area provides the title for chapter 1 of ""The Wizard of Oz""",Cyclone
"To try to prevent her son from going to this city to fight, Thetis disguised Achilles as a girl & sent him away",Troy
"When an ancient Greek said, ""Love me, love my dog"", more often than not the dog was one of these",Maltese
"To call the Rotorua Man, you'll have to ring up this antipodean island nation",New Zealand
"On August 12, 1981 the world saw the first IBM personal computer using this Microsoft operating system",MS-DOS
It equals 1/1000th of an inch,Mil
"Type of nightclub Mick Jagger was ""going to"" in a 1982 Rolling Stones song",A Go Go
This dog wants you to take a bite out of crime,McGruff the Crime Dog
"Before this animal became common, Romans used the ferret for vermin control",Cat
This future president was working at his father's leather store when the Civil War started,Ulysses S. Grant
The Addams got their Saturday morning start when they guest-starred on this sleuth pooch's show,Scooby-Doo
Ladies & Gents...in the 1970s Bernice Collins took center ring as this circus' first black female clown,Ringling Brothers and Barnum & Bailey Circus
Nickname of the bridge Antonio Contino built around 1600; it connects the prison & the doge's palace,Bridge of Sighs
"""You may talk about your Clementine and sing of Rosalee but"" she's ""the only girl for me""","""The Yellow Rose of Texas"""
Herodotus told the tale of Arion's rescue at sea by one of these mammals,Dolphin
"In ""She Done Him Wrong"", Mae West propositioned this actor with ""Why don't you come up sometime -- see me?""",Cary Grant
He was Uncle Fester on the '60s TV series,Jackie Coogan
"This ""Beloved"" author was the first African-American to win a Nobel Prize for Literature",Toni Morrison
"Doge Enrico Dandolo issued these called grossos, with his picture on therm",Coins/currency
Its headquarters are located in Mammoth Hot Springs,Yellowstone National Park
A Japanese folktale tells of Urashima Taro who saves one of these sea reptiles that turns into a young woman,Turtle
"This singer published a book of her own ""Heart-to-Heart Bible Stories"" for children",Amy Grant
"Carel Struycken, who was the giant on ""Twin Peaks"", took on this role in the 1991 film",Lurch
"14th century doge Marino Faliero was the subject of a tragedy by this ""Don Juan"" poet",Lord Byron
This North American woodpecker lives on the east coast but flies to Central America for the winter,Yellow-bellied sapsucker
These animals were involved in the premiere event in the funeral games for Patroclus,Horses
This TV producer was married to Mary Tyler Moore until 1981,Grant Tinker
This character was the obvious choice for a series of commercials for the Yellow Pages,Thing
"Simone Boccanegra was the first doge of this city, home to Columbus",Genoa
In 1970 it became the first & only incorporated city in Canada's Northwest Territories,Yelllowknife
"The ""Lucanian Cows"" Pyrrhus used in his invasion of Italy were these, from Asia",Elephants
"This 6' 8"" basketball forward is the son of a former Dallas Cowboys running back",Grant Hill
This cathedral in Venice was originally a private chapel of the doges,Saint Mark's Cathedral
"Drawn by R.F. Outcault, this hero of the first true newspaper comic strip debuted on May 5, 1895",The Yellow Kid
"In a 1998 interview, she said, ""I see it as my apostolic duty to talk about art""",Sister Wendy
1983: starring Al Pacino as a drug-crazed & murderous Miami kingpin,Scarface
"""Sidney Sheldon's Windmills of the Gods"" was a 1988 TV movie based on his book",Sidney Sheldon
"Due to growing responsibilities of the Attorney General, Congress established this Cabinet dept. on June 22, 1870",Justice
The Acme Thunderer is one of these used by many sports referees,a whistle
Mother Teresa knew that this was the answer to the math problem of what 2 minus 2 equals,none (nun)
"Thanks to the way sedimentary rocks form, we have the science of stratigraphy, the study of strata, which are these",layers of rock
1978: Cheech & Chong in their first silly big screen comedy,Up In Smoke
"Traditionally, use 2 oz. gin, 5 oz. tonic water & 1 lime wedge to make this drink",a gin and tonic
"It's the T in the WCTU, founded in Cleveland in 1874 with Annie Wittenmyer as its first president",temperance
The potage this Biblical character sold his birthright for was made from lentils,Esau
"The bottom part of your foot, or a flatfish which may or may not go to heaven",sole (soul)
Single-family homes in Manhattan were built with & named for this local sedimentary stone,brownstone
1955: Frank Sinatra as dope addict Frankie Machine,The Man With The Golden Arm
"Ozzy Osbourne was a no-show at this festival's Auburn, Washington stop July 12, 2003",Ozzfest
"On October 5, 1877 this Nez Perce chief surrendered to general Nelson Miles about 30 miles from the Canadian border",Chief Joseph
"North Dakota's state song is ""North Dakota Hymn""; this state uses ""The Old North State""",North Carolina
"Minuteman & peacekeeper are versions of these, with or without hymns scrawled on them",missile (missal)
Alabaster is a variety of this rock (that would make a good law partner for Cheatum),Gypsum
1989: Matt Dillon as a junkie who with his crew robs pharmacies to support their habits,Drugstore Cowboy
It seems like all things under the sun are considered on this radio program with Robert Siegel,All Things Considered
"This state's 2nd black U.S. senator, Blanche K. Bruce was the first black senator to serve a full term, 1875-1881",Mississippi
"His frenzied female devotees were called maenads, or, from his other name, Bacchus, bacchantes",Dionysus
"The type of ""ego"" Bruce Wayne is, you know, the guy who always sacrifices",alter (altar)
"(Cheryl of the Clue Crew dissolves a piece of rock in a chemistry experiment.)  With diluted hydrochloric acid, you can test for this rock; the acid reacts with the calcite to form CO2",limestone
1991: Jason Patric & Jennifer Jason Leigh as undercover narcs who get hooked on drugs,Rush
Beer lovers rejoiced when he invented Pasteurization in 1864,Louis Pasteur
"He purchased the St. Louis Dispatch for $2,500 in 1878 & soon merged it with the St. Louis Post",Joseph Pulitzer
"Located about 8,500 feet up in the Andes is this judicial capital of Bolivia",Sucre
Try not to talk about this vessel in which incense is burned during holy ceremonies,censer (censor)
"Bad English sang ""When I See You Smile""; it was this group that had the hit ""Feel Like Makin' Love""",Bad Company
In a 24-book work Homer chronicled his journey home,Odysseus
"He was responsible for photographing every pres. from J.Q. Adams to McKinley, except W.H. Harrison",Mathew Brady
This state didn't keepsie Poughkeepsie as its capital for very long,New York
"Bertha von Suttner, the 2nd woman to win one of these, was the 1st woman to win in the Peace category",a Nobel Prize
It's the first right of the Miranda warning given to arrestees,"""you have the right to remain silent"""
"It's the group heard here with a sentimental '80s hit  ""I've been waiting for a girl like you to come into my life...""",Foreigner
A plot twist in an Oscar Wilde play hinges on her fan,Lady Windermere
This mechanical device behind the lens opens & closes to let in light,the shutter
"Opelousas, Donaldsonville & Shreveport are among the places that have been its capital",Louisiana
Clara Schumann taught this musical instrument at Frankfurt's Hoch Conservatory,a piano
"In other words ""regarding one ancient canine; no modern skill training potential""","""you can't teach an old dog new tricks"""
1 of the 2 No. 1 hits REO Speedwagon had in the '80s,"""Keep On Loving You"" or ""Can't Fight This Feeling"""
Relationship of J.D. Salinger's Franny & Zooey,siblings
In the 1830s this Frenchman began producing photographs by exposing silver-coated copper plates,Louis Daguerre
Figuring out the name of this capital of Alabama from 1826 to 1846 is like pulling teeth,Tuscaloosa
"Born in Sebring, Ohio, she was the loyal secretary to Richard Nixon",Rosemary Woods
3-word title of the 1950s TV show hosted by Walter Cronkite that recreated history as news events,You Are There
"Fronting this group, David Coverdale wondered, ""Is This Love""",Whitesnake
"Sister of Stepan Oblonsky, she's a Tolstoy title lady",Anna Karenina
Digital photographs are made up of millions of these tiny squares,pixels
Before Dover took over you had to carry your coals to this capital of Delaware,Newcastle
"On May 3, 1933 this first woman governor of Wyoming became the first woman director of the U.S. Mint",Nellie Tayloe Ross
"Thomas Wolfe's sequel to ""The Web And The Rock""",You Can't Go Home Again
(Jimmy of the Clue Crew manipulates some ball bearings in the palm of one hand.)  He's the 1951 novel character whose constant habit I'm imitating,Captain Queeg
In 1936 she became a staff photographer at Life magazine & later produced photo essays of WWII,Margaret Bourke-White
Portland used to be a capital of Maine & Augusta used to be a capital of this state,Georgia
"The last Englishwoman to win Wimbledon's women's singles, she won in 1977",Virginia Wade
This play won Moss Hart & George S. Kaufman a Pulitzer Prize in 1937,You Can't Take It With You
The 2 U.S. presidents whose middle names are also the last names of 2 other presidents,Ronald Wilson Reagan & William Jefferson Clinton
"While grading school papers, he came up with the line ""In a hole in the ground there lived a hobbit""",J.R.R. Tolkien
"Because his view of Venus is obstructed, this Martian is going to blow up the Earth",Marvin the Martian
Oceanographer James Snodgrass invented a gnathodynamometer to measure the force of this creature's bite,Great white shark
"Bonnie,  Sir John, Aretha",Franklin
"Found in northwest Rome, it's Europe's largest Christian church",St. Peter's Basilica
"A district of L.A., it's considered the movie capital of the world",Hollywood
Big Brother could tell you his real name was Eric Arthur Blair,George Orwell
These 2 Disney chipmunks make life difficult for Donald Duck,Chip & Dale
"The fin type, the second-largest species of this, can be 80 feet long & travel at ocean liner speed",Whale
"Irene, Meg, Nolan",Ryan
"Examples of these in Rome include Il Messaggero, Il Tempo & La Repubblica",Newspapers
"Charles was the real first name of this Texan who died in a plane crash near Mason City, Iowa",Buddy Holly
"Princess Di's step-grandmother, this ""Queen of Romance"" passed away in 2000 at the age of 98",Barbara Cartland
"In 1958 these 3 chipmunks had a No. 1 hit with ""The Chipmunk Song""","Alvin, Simon & Theodore"
Free-floating algae that form a foul film are called the pond type of this,Scum
"Janet, Vivien, Jennifer Jason",Leigh
It's the river that flows through the city,Tiber
"This Oscar winner's credits include ""Miss Firecracker"" & ""Broadcast News""",Holly Hunter
"""The Little Drummer Girl"" was his first novel to feature a female protagonist",John le Carre
"This show that debuted in 1993 featured siblings Dot, Yakko & Wakko (who sounds like Ringo Starr)",Animaniacs
"These organisms cemented to ships & rocks are also called cirripedes, for their food-gathering cirri",Barnacles
"James, Jackie, Marsha",Mason
"Built in celebration of military victories, it's the emperor's arch seen here",Arch of Constantine
It's the colorful backyard favorite seen here,Hollyhock
"He left his heart & the remains of 2 wives ""Far From the Madding Crowd"" at Stinsford Church near Dorchester",Thomas Hardy
"This soulful singer is the voice of Chef on ""South Park""",Isaac Hayes
"A creature that expels water through a siphon is called a ""sea"" one of these, like a pipsqueak kid",Squirt
"Penelope Ann, Glenn, Arthur",Miller
"The seat of the Italian senate since 1871, Rome's Madama Palace was once owned by this powerful family",Medici
"After jumping from ""21 Jump Street"", she jumped into the arms of a pro football quarterback",Holly Robinson-Peete
In 1870 visitors to this city had fun strolling the first boardwalk in the U.S.,Atlantic City
"The New York Giants' Monte Irvin said that this trailblazer ""opened the door of baseball to all men""",Jackie Robinson
"The question ""Am I my brother's keeper?"" is posed in this book of the Bible",Genesis
"In 1973 he married Ali MacGraw, his co-star from ""The Getaway""",Steve McQueen
"Skyworld, a restaurant on Tortola, is famed for this citrus pie that's also a favorite in Florida",Key lime pie
To make amends for a sin,Atone
"Launched in 1807, Robert Fulton's North River steam boat was better known by this name",Clermont
"This Green Bay Packer vied for Cameron Diaz' affection in the movie ""There's Something About Mary""",Brett Favre
"By tradition, at least 70 psalms are attributed to this Biblical king",David
"Lee Majors played this colonel, the Six Million Dollar Man",Steve Austin
"In Aruba, you'll have fun eating funchi, a side dish made from this kind of meal",Corn meal
"It's what Gilbert O'Sullivan was ""Again (naturally)""",Alone
This college was created in 1879 to provide instruction for women by the Harvard faculty,Radcliffe
"On March 29, 2000 the Cubs faced the Mets in this city's dome, the first MLB game played outside North America",Tokyo
Noah's Ark was made of gopher wood & measured 300 of these units in length,Cubits
(I'm NFL wide receiver Terrell Owens)  In 1999 I caught the game-winning pass from this lefty quarterback as the 49ers beat the Packers in the playoffs,Steve Young
La Habichuela in Cancun features cocobichuela: lobster & shrimp served in one of these shells,Coconut shell
A Francophone speaks French; this is a person who speaks English,Anglophone
"During George Clinton's last term as New York governor, this nephew became mayor of New York City",DeWitt Clinton
"In 1973 he came out of retirement to play for the WHA's Houston Aeros, with his sons as teammates",Gordie Howe
Jack Lord played this detective who headed up Five-O,Steve McGarrett
Iguana is a taste treat on this island that the U.S. invaded in 1983,Grenada
The shell of this large marine gastropod is used for ornaments,Abalone
"Despite the 1837 capture of Osceola, the 2nd war named for this Indian tribe lasted nearly 6 more years",Seminole
This legendary Dallas Cowboys running back is the father of NBA star Grant,Calvin Hill
"The New York Post said this actor seen here ""resembles a strange mix of Don Knotts, Peter Lorre & David Carradine""",Steve Buscemi
"Goat stew is savored on this ""C"" of the ABC Islands, which lent its name to an orange-peel liqueur",Curacao
"Tell us, it's the talus",Anklebone
"Because of their dog-like behavior, the name of this sneering sect comes from the Greek for ""dog-like""",Cynics
"After the war, Confederate general Nathan Forrest served as the first head of this supremacist group",Ku Klux Klan
"The word salad comes from Latin for this, because most Romans dressed their salads with little else",Salt
A person who uses offensive epithets against a political opponent is said to be doing this with mud,slinging
This Harrison Ford movie was the 1st collaboration by George Lucas & Steven Spielberg,"""Raiders of the Lost Ark"""
E.T. Holmes made the first one of these in 1877 to serve 6 telephone subscribers in Boston,Telephone Switchboard (even though there were only 6 subscribers)
1 of the 3 heavyweight boxing champs to fit this category,"Joe Frazier, Joe Louis & ""Jersey Joe"" Walcott"
"Lincoln was asked to make a ""few appropriate remarks"" here November 19, 1863",Gettysburg
"Toss together some lettuce, olives, cucumbers & feta cheese & you've got this ethnic salad",Greek Salad
"Meaning savage & cruel, it comes from the Latin ""trux"", which means fierce",Truculent
Miles O'Keeffe played this title role in a film produced by Bo Derek & directed by husband John,Tarzan the Ape Man
You could have gotten stuck on this company's first stick-on Band-Aids in 1921,Johnson & Johnson
This Delaware senator chairs the Senate Judiciary Committee,Joseph Biden
The Confederates held this fort from April 1861 to February 1865,Fort Sumter
"This 3-letter prefix that precedes ""goblin"" can also mean goblin when it stands alone",Hob
This film starring Laurence Olivier as Gen. Douglas MacArthur was produced by the Unification Church,Inchon
"In 11th century China, Pi Sheng made this out of clay; about 1445 Gutenberg used metal",Movable Type
This world leader's real name was Joseph Vissarionovich Dzhugashvili,Joseph Stalin
"He earned his nickname at First Bull Run & led 25,000 Confederates at its sequel, Second Bull Run",Stonewall Jackson
"It can be a spokesman, part of your phone or a protective rubber device worn by a boxer",Mouthpiece
"This actor had his last theatrical film role as police commissioner Waldo in ""Ragtime""",James Cagney
"In 1982 this British singer paired with Jennifer Warnes in the No. 1 hit ""Up Where We Belong""",Joe Cocker
"Due to rumors of his Southern sympathies, the U.S. Gov't didn't buy his new machine gun during the war",Gatling
In Europe salad may follow the main course because vinegar dressings can conflict with the taste of this,wine
"This adjective meaning ""of the earliest ages"" appears in the first line of Longfellow's ""Evangeline""","Primeval (""This is the forest primeval, the murmuring pines & the hemlocks"")"
"In ""First Monday in October"", this actress played Ruth Loomis, 1st woman on the Supreme Court",Jill Clayburgh
"The U.S. developed the NTSC system of this; France, SECAM & Germany, PAL",Different systems of broadcasting color television
"Late charismatic scholar seen on a PBS series in 1988 conversing with Bill Moyers on ""The Power Of Myth""",Joseph Campbell
"At the end of their story, one returns to his estate, one marries a rich widow & one becomes a monk","""The Three Musketeers"""
"Berlioz neglected his medical studies in this capital, preferring to spend his nights at the opera",Paris
"In the closing arguments in a federal criminal case, this side goes first & gets to do a rebuttal",Prosecution
"After divorcing Daniel Patterson, she married her third husband, Asa Gilbert Eddy",Mary Baker Eddy
Many consider a genius to be someone who scores 140 or better on a standard one of these,IQ Test
"Though Abidjan has the main gov't buildings, Yamoussoukro is this country's official capital, tusk, tusk",Ivory Coast
"Type of lit. that was the specialty of Francois Villon, Marie De France & Charles Baudelaire",Poetry
"A master composer of ballets, he was the leading Russian composer of the late 19th century",Pyotr Ilyich Tchaikovsky
You can perform Shakespeare's plays without paying royalties since copyright law defines them as this,Public Domain
In the 1600s the Baptists began baptizing by this method,Immersion
Term for a physical illness caused or worsened by psychological factors,Psychosomatic
"To Tibetans it's ""Chomolungma"", the goddess mother",Mount Everest
"The son of Grandgousier & Gargamelle, he was a medieval folk hero before Rabelais wrote about him",Gargantua
"Friedrich Nietzsche was a close friend of this ""Lohengrin"" composer but later turned against him",Richard Wagner
"In Latin legal lingo it means ""by the fact itself""",Ipso Facto
In 1790 the first emancipation petition was submitted to Congress by this religious group,Quakers
Field of psychology that centers on the study of work & work environments,Industrial Psychology
There's a canyon full of odd rocks named for pioneer Ebenezer Bryce in this state,Utah
"A teacher of philosophy until her first novel was published, her best-known work is ""The Second Sex""",Simone De Beauvoir
First name shared by Vivaldi & Salieri,Antonio
He was the last president to be one of the litigants in a case before the Supreme Court,Richard Nixon
The Catholic mission at San Juan Capistrano was founded in the 18th century by this Franciscan,Juniperro Serra
An adult who returrns to a childhood level of behavior is exhibiting this defense mechanism,Regression
It's the longest U.S. river east of the Mississippi,Ohio River
"Denis Diderot is best known as editor of one of these reference works, the first modern one in any language",Encyclopedia
"Despite his protests, Claude Debussy's distinctive style was labeled this",Impressionistic
"1849 work in which Thoreau asked, ""Unjust laws exist:  shall we be content to obey them...?""","""Civil Disobedience"""
Circuit riding preachers of pioneer days were most associated with this Protestant denomination,Methodists
"Oliver Sacks wrote a book about one of his patients called ""The Man Who Mistook His Wife For"" this",For a Hat
In 1884 it lost its Atacama province to Chile & became a landlocked country,Bolivia
He became a nat'l hero when he led the Spanish Foreign Legion against Moroccan rebels in the 1920s,Gen. Francisco Franco
"""It was a little Cocker Spaniel dog...and our little girl, Tricia, the 6-year-old, named it Checkers""",Richard Nixon
"It's the role Danny Bonaduce played on ""The Partridge Family""",Danny
"The lightest wood used commercially, it's used to build model airplanes & some kinds of buoys",balsa
